TWA\TWS,4,6,8,10,12,14,16,20
5°,0.3,0.4,0.5,0.6,0.6,0.5,0.7,0.7
10°,0.6,0.8,1,1.1,1.3,0.9,1.4,1.3
15°,0.9,1.3,1.5,1.7,1.9,1.4,2.1,2
20°,1,1.5,1.8,2,2.2,1.6,2.4,2.3
25°,1.2,1.7,2.1,2.3,2.6,1.9,2.8,2.7
30°,2,2.9,3.5,3.9,4.3,3.2,4.7,4.5
35°,2.3,3.3,3.9,4.4,4.8,5,5.2,5.1
40°,2.5,3.6,4.4,5,5.3,5.6,5.7,5.7
45°,2.8,4.1,4.9,5.6,5.9,6.2,6.3,6.3
50°,3.2,4.6,5.5,6.1,6.5,6.7,6.8,6.8
60°,3.5,5,5.9,6.4,6.8,7,7.1,7.2
70°,3.8,5.4,6.3,6.8,7.1,7.4,7.5,7.7
80°,3.8,5.4,6.3,6.8,7.1,7.4,7.6,7.9
90°,3.8,5.4,6.3,6.8,7.1,7.4,7.6,8.1
100°,3.6,5.1,6.1,6.6,7,7.3,7.5,8
110°,3.3,4.7,5.8,6.4,6.8,7.1,7.3,7.8
120°,2.9,4.2,5.3,6,6.5,6.9,7.2,7.7
130°,2.5,3.7,4.7,5.6,6.2,6.6,7,7.5
140°,2.3,3.4,4.4,5.3,6,6.5,6.9,7.4
150°,2.1,3.1,4.1,4.9,5.7,6.3,6.7,7.3
160°,2,3,3.9,4.8,5.5,6.1,6.6,7.2
170°,1.9,2.9,3.8,4.6,5.4,6.1,6.5,7.2
180°,1.9,2.8,3.7,4.6,5.3,6,6.5,7.1
